param_ind,cur_win_length,cur_nfft,cur_hop_length,k_iters,test_ind,score_pesq,score_estoi,score_si_sdr,score_dr
2,4096,8192,2048,10,0,1.2820870876312256,0.741108440077814,-3.0430498608262093,10.976854827959421
2,4096,8192,2048,100,0,2.0679209232330322,0.9168699734953139,7.949144637410087,18.152334165428194
2,4096,8192,2048,100,0,2.0969598293304443,0.8858221046598593,6.002740565175637,14.166813436333406
2,4096,8192,2048,100,0,2.0904486179351807,0.9255017227835942,8.994031157389905,13.119352896771124
2,4096,8192,2048,500,0,2.4381914138793945,0.9491197263233989,7.296326864217768,8.598311506671427
2,4096,8192,2048,20,0,1.432916283607483,0.7543274196341662,3.276537150969398,13.31879827868811
2,4096,8192,2048,20,0,1.6394076347351074,0.8227369760547854,2.276333390214937,13.350428999780439
2,4096,8192,2048,20,0,1.4713493585586548,0.7925131544602482,1.5841680795648077,13.714952065837016
2,4096,8192,2048,20,0,1.8372313976287842,0.827419015390587,3.5361794857931357,13.563579603570465
2,4096,8192,2048,20,1,1.7777056694030762,0.806918483148379,1.4357448676260267,13.99626665521954
2,4096,8192,2048,20,2,1.5838088989257812,0.8516355487877378,2.6233484270919325,14.367381510072896
